conversation_id	tweet_id	message	context	bucket	short	deictic
2171079	2171076	Sound een pre-ordering a game from @115830 only to have it not show up when it's supposed to. Could have just went to the fucking shops for it if I knew it wasn't going to be delivered today 🙃		unmatched	False	True
487688	487687	Mieux vaut tard que jamais... Commandé dimanche avec #AmazonPrime, reçu vendredi avec @22475! Cc @AmazonHelp https://t.co/9dEgzWNUVN		unmatched	False	False
2852150	2852152	I'll go sit at the door for the next 8min then? @115830 @AmazonHelp https://t.co/HxTfGThaQX		unmatched	False	False
2798309	2798309	@AmazonHelp Sure, the thing is that I saw notified that my package arrived and this photo came with the notification. https://t.co/exSU9ihnzl	BRAND: @USER Hey! Sorry to hear that, can you provide some more details without providing any account information? ^CH | CUSTOMER: Hey @USER I currently have a problem with my package.	unmatched	False	True
1451501	1451493	@AmazonHelp Como foi minha primeira compra, eu comprei 2 (use a cabeça c E linux a bíblia), mas já estou fazendo a lista das próximas compras	BRAND: @USER Oi Lucas muito obrigada pelo comentario, quantos livros comprou📚 ? ^MB | CUSTOMER: Minha compra de livros na @USER levou três dias pra chegar e os livros vieram em segurança, rsrs. Mto bom, melhor site para comprar	unmatched	False	False
1645512	1645507	@AmazonHelp I'm having it on the full site and the mobile site on all browsers.  I don't use the app.  Shopping works...I just can't buy.	BRAND: @USER I'm sorry for the troubles. Just to clarify, can you tell us if you are having this problem with the app, full site, or both? ^AL | CUSTOMER: @USER What is the prob w/your cart pages not loading. Have had this prob. for a week now. First Safari and iOS, now IE &amp; Chrome too	device_app	False	True
787658	787651	@AmazonHelp ¡Gracias todo resuelto!	BRAND: @USER Por seguridad de tu información por este medio no contamos con acceso a tu cuenta, utilizando el enlace podremos verificar. ^VM URL | CUSTOMER: @USER El pedido no sale en el listado sólo puedo verlo en Amazon Prime | BRAND: @USER Contáctanos aquí: URL directamente para poder verificar la información del pedido de forma segura. ^VM | CUSTOMER: @USER Hola @USER @USER ¿alguna respuesta?	unmatched	True	False
893308	893309	Atualizando meu @39415 e quais são meus maiores gastos do mês? Sim meus caros, @117086 , claro.		unmatched	False	False
616914	616909	@AmazonHelp Same card. Most orders are paid with gift vouchers. You say it’s because I’m buying others say it’s because I sell. No one can give me a straight answer. I currently have 4 £1 trans in my account.	BRAND: @USER Hi, when you place an order with us we authorise the payment card with your bank to make sure the card is valid. Is this £1 authorisation happening with different cards or the same card? ^ES | CUSTOMER: @USER You are pre-authorising my account £1 on a weekly basis. I want to make an official complaint. I have phoned emailed and live chatted to no avail. If I don’t get a response I will report you to OFT &amp; Ombudsman | CUSTOMER: @USER The team member you ask d to look into my problem is incompetent. They have not even read my email. I am now closing my seller account and have reported you to the OFT	unmatched	False	True
2875661	1381910	@AmazonHelp Positive thing is that this time they not requested me t fill form which I still confused	BRAND: @USER We value your time and we shall get in touch with you at the earliest. ^RB | CUSTOMER: @USER No reply for my request of firm answer..... almost 28 days still counting | CUSTOMER: @USER When ? Is this assurance can be trusted | BRAND: @USER We apologize for the stretch and miscommunication as well. We are working on the order and shall get it delivered soon. ^CB | CUSTOMER: @USER How many form do need me fill. Please address the issues at earliest if u can or else keep quiet you lier | BRAND: @USER Sorry for the mess. I’d like to help you; please fill this form: URL and I’ll contact you soon. ^SC	unmatched	False	True
