example_id,codes,true_intent,intent,action,confidence,language
challenge-842315,intent_off_target;escalation_conservative;retrieval_lang_mismatch,delivery_delay,delivered_but_not_received,escalate,0.7245,fr
challenge-1379340,intent_off_target;retrieval_lang_mismatch,device_app_issue,delivery_delay,auto_handle,0.886,it
challenge-1451501,intent_off_target;escalation_conservative,none,charge_issue,escalate,0.5654,pt
challenge-1568158,intent_off_target;escalation_conservative,charge_issue,delivery_delay,escalate,0.8476,en
challenge-1645512,intent_off_target;drafting_ungrounded,device_app_issue,delivery_delay,auto_handle,0.8831,en
challenge-1738390,intent_off_target;drafting_ungrounded,none,delivery_delay,auto_handle,0.9521,ja
challenge-197857,intent_close_secondary;escalation_conservative,charge_issue,service_complaint_escalation,escalate,0.7698,en
challenge-2151072,intent_off_target;drafting_ungrounded,none,delivery_delay,auto_handle,0.9888,ja
challenge-227064,intent_off_target;drafting_ungrounded,device_app_issue,delivery_delay,auto_handle,0.9276,ja
challenge-232399,intent_off_target;escalation_conservative,service_complaint_escalation,delivery_delay,escalate,0.8773,fr
challenge-2472354,intent_off_target;drafting_ungrounded,none,delivery_delay,auto_handle,0.95,ja
challenge-2586341,intent_off_target;drafting_ungrounded,none,delivery_delay,auto_handle,0.9121,ja
challenge-2679197,intent_off_target;escalation_conservative,product_return_and_replacement,service_complaint_escalation,escalate,0.7346,en
challenge-2798309,intent_off_target;escalation_conservative,delivered_but_not_received,delivery_delay,escalate,0.8533,en
challenge-2853614,intent_off_target;escalation_conservative,cancellation,service_complaint_escalation,escalate,0.7047,en
challenge-519702,intent_off_target;escalation_conservative,account_access,delivery_delay,escalate,0.8654,en
challenge-616914,intent_off_target;escalation_conservative,charge_issue,service_complaint_escalation,escalate,0.8041,en
challenge-689484,intent_off_target;escalation_conservative,delivered_but_not_received,delivery_delay,escalate,0.811,en
challenge-816342,intent_off_target;retrieval_lang_mismatch,none,delivery_delay,auto_handle,0.9871,it
challenge-835153,intent_off_target;escalation_conservative,product_return_and_replacement,delivery_delay,escalate,0.8431,en
representative-1147828,intent_off_target;escalation_conservative,product_return_and_replacement,delivery_delay,escalate,0.8661,en
representative-1179639,intent_off_target;escalation_conservative,service_complaint_escalation,delivery_delay,escalate,0.8737,en
representative-1181640,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.9905,en
representative-1204940,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.9101,en
representative-1229460,intent_off_target;escalation_conservative,product_return_and_replacement,delivery_delay,escalate,0.7813,en
representative-1397273,intent_off_target;escalation_conservative,order_status_query,delivery_delay,escalate,0.8654,en
representative-1415560,intent_off_target;escalation_conservative,service_complaint_escalation,delivery_delay,escalate,0.8701,en
representative-1420491,intent_off_target;escalation_conservative,refund_request,delivery_delay,escalate,0.7736,en
representative-1464161,intent_off_target;escalation_conservative,device_app_issue,delivery_delay,escalate,0.6196,en
representative-1537572,intent_off_target;escalation_conservative,service_complaint_escalation,delivery_delay,escalate,0.8408,en
representative-1604096,intent_off_target;escalation_conservative,charge_issue,delivery_delay,escalate,0.597,en
representative-1766849,intent_off_target;escalation_conservative,device_app_issue,delivery_delay,escalate,0.8604,en
