example_id,conversation_id,split,tweet_id,language,primary_intent,secondary_intents,message_type,context_dependency,difficulty,label_confidence,annotation_note
challenge-2814438,2814438,challenge,2814421,es,account_access,,complaint,context_helpful,hard,medium,Sent fax but account still blocked.
challenge-2694949,2694949,challenge,2694952,en,account_access,,complaint,self_contained,hard,low,Prime trial unavailable though displayed; membership confusion.
challenge-519702,519702,challenge,519700,en,account_access,,complaint,context_helpful,hard,medium,PSN codes wanted; account access flagged.
challenge-2853614,2853614,challenge,2853615,en,cancellation,,support_request,self_contained,easy,high,Order went to cancelled; how to un-cancel.
challenge-1955907,1955907,challenge,1955900,en,charge_issue,,follow_up,context_required,hard,medium,Gift-card/voucher validation error.
challenge-616914,616914,challenge,616909,en,charge_issue,,follow_up,context_helpful,hard,medium,Repeated £1 auth; no straight answer.
challenge-197857,197857,challenge,197855,en,charge_issue,service_complaint_escalation,complaint,context_helpful,hard,medium,Seller price hike ₹1300; 'criminal'.
challenge-1845984,1845984,challenge,1845978,en,charge_issue,,follow_up,context_helpful,hard,medium,Amazon CC activated; promised voucher/authorisation.
challenge-1568158,1568158,challenge,1568156,en,charge_issue,,complaint,context_helpful,hard,medium,MRP price discrepancy on items.
challenge-834216,834216,challenge,834216,en,delivered_but_not_received,,clarification,context_helpful,hard,medium,AMZL; delivery guy 'couldn't access' — not received.
challenge-2798309,2798309,challenge,2798309,en,delivered_but_not_received,,follow_up,context_required,hard,medium,Arrival photo in notification vs problem with package.
challenge-689484,689484,challenge,689485,en,delivered_but_not_received,service_complaint_escalation,complaint,context_helpful,medium,high,Package not delivered; told to file police report.
challenge-1242242,1242242,challenge,1242240,en,delivered_but_not_received,service_complaint_escalation+product_return_and_replacement,complaint,context_helpful,hard,medium,Investigated wrong item; package rob/investigation mess.
challenge-1578555,1578555,challenge,1578557,de,delivered_wrong_location,,complaint,context_helpful,hard,medium,Both packages delivered to wrong person.
