conversation_id	tweet_id	message	context	bucket	short	deictic
533206	533205	"@AmazonHelp Also, if I haven't specifically indicated that I want my parcel to be left in a ""safe place""... why is the delivery driver assuming my recycle bin is a safe place? It is visible from the street; is NOT in a garden; and if someone sees him putting it there, it can be stolen!"	CUSTOMER: @USER It is only allowing me to leave feedback for the seller - not the carrier. The seller is a third-party, with delivery fulfilled by Amazon. It was your own delivery driver that is at fault - not the actual seller of the goods. | BRAND: @USER If you'd like to leave carrier feedback, please visit us here: URL ^RB | CUSTOMER: @USER (of which I am one of those people!) | CUSTOMER: @USER I heard the door knock - I was in the kitchen. By the time I got to the door, he was coming from the back of my house. He basically knocked and went straight to the recycle bin. He didn't even wait to see if I was in. Some people may not be able to reach inside a recycle bin... | CUSTOMER: @USER I was in the house - I didn't need a safe place. | BRAND: @USER Thank you for contacting us, Rob! I am so sorry for the poor delivery experience. We are here to help. Have you had the chance to set up a safe place to leave parcels if you are not available? Learn more here: URL Hope this helps! ^SC	delivered_wrong	False	True
1727624	1727625	How to contact @Amazonhelp about a stolen package? Website not user friendly requesting support. Unique situation would like to chat about.		delivered_wrong	False	False
1464161	1464161	@AmazonHelp @17711 @17712 update: episode still unavailable. I think you're the people who update me. Not vice versa? 🔮	"BRAND: @USER Please keep us updated on this. We want to ensure this is resolved. ^RR | CUSTOMER: @USER called customer service number and they didn't know why there was an issue, said they're working on it but 🤷‍♀️ | BRAND: @USER I'm sorry for the trouble streaming episode 29. We want to help if we can. Please reach out to us by phone or chat here: URL so we can look into this further with you. ^JN | CUSTOMER: @USER what's up? Need Stupid Watergate updates. Why is only this episode of @USER @USER not available in my ""location"" URL"	unmatched	False	True
2587901	2587900	Ahh se me hace increible que una tarjeta Oro de @100143 no entre a meses para comprar una TV en @116875		unmatched	False	False
982267	980697	Wtf @AmazonHelp ... I ordered an altitude mask and you sent me a ‘tutu’ ?!😂🤦🏼‍♂️ https://t.co/vyRD2Co70n		unmatched	False	False
2641344	2641341	@AmazonHelp UPS	BRAND: @USER Could you tell us who the carrier is for this delivery? It can be found here: URL ^ML | CUSTOMER: @USER It says out for delivery. It has said that all day. It's after 8pm where I am. | BRAND: @USER Hey Ronnie! I'm sorry your order hasn't arrived. We'd like to help! What is the current tracking listed on the order? ^AJ | CUSTOMER: OMG my @USER order from Thursday still hasn't arrived Prime Fail! It was a 6 y/o's last minute Halloween costume change.	unmatched	True	False
1806474	1806477	Amazonで予約注文したnon・noの注文番号がいつ届くかわからないので、ヒヤヒヤしてる😞💦		unmatched	True	False
2573750	2573743	@AmazonHelp I've checked all of my folders. Like I said, the number in that link is the exact one I have called five times. I'm a Prime member who has been locked from their account for three weeks and have had nothing visible done to remedy this.	"BRAND: @USER Have you checked your junk/spam folders? You can also use that link and call the number listed. ^AF | CUSTOMER: @USER I've called that number five times over the past three weeks and nothing has been resolved. | BRAND: @USER We'd like to get you in contact with our Account Specialists directly. Please visit us at the following link, select the issue, and under ""Did you know?' will be a contact number: URL ^WT | CUSTOMER: @USER Nope. My account had it's email changed. I received no notification of it. All I've gotten in response is ""We'll send a form to the fraud team and they'll get back to you in 24-48 hours."" Still no response after 3 weeks. My account is US. | BRAND: @USER Hey Kraig! I'm sorry for the frustration this has caused! When you go to Amazon, are you able to log into your account? When you called us, what insight was provided? Which Marketplace are you using? (URL ^AR | CUSTOMER: I've been disconnected multiple times and told the same story every other time. 1-2 business days. For three weeks. Is this how customers are treated nowadays? @USER"	unmatched	False	True
2052149	2052147	@AmazonHelp Done! Thanks		unmatched	True	True
1724691	1724692	@AmazonHelp money debited from bank but isn’t credited to amazon pay balance please sew to this asap https://t.co/JfP0A0mYgr		charge_issue	False	True
2528270	2528271	@AmazonHelp seems like all the one day shipping for items has vanished and is two day only		unmatched	False	False
1570766	1570761	@AmazonHelp Do you have any update here?	CUSTOMER: @USER I am doing replying to you folks! Worst delivery services.. @USER delivery is any day better than @USER.. | BRAND: @USER We are working on it. For any further assistance, kindly reply to the email received from our team. ^RW | CUSTOMER: @USER @USER @USER product not delivered !	unmatched	True	False
245210	245209	Seit einiger Zeit versendet @116316 seine Lieferungen an mich per @122924, sich nicht an Lieferzeiten halten. Lausig! @AmazonHelp		unmatched	False	False
2612309	2612218	Woke up to see that my bank account was over drawn from something i didn’t even buy off amazon??? HAPPY FRIDAY 🙃🙃🙃🙃		unmatched	False	True
566690	566691	@AmazonHelp UPS	BRAND: @USER I'm sorry to hear your package hasn't arrived yet. Can you tell us who the carrier is? If you're unsure you can check here: URL ^AY | CUSTOMER: @USER My package was due yesterday and now it’s two days late 🙄🙄	unmatched	True	False
