query_id,model,input_variant,language,difficulty,primary_intent,mode,miss_kind,useful_retrieved,useful_total,missed_useful_case_ids,missed_related_case_ids,top5_levels
challenge-1379340,dense,ctx,it,medium,device_app_issue,multilingual_crossover,full_useful_miss,0,3,"['2332811', '2317689', '139027']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-1568158,dense,ctx,en,hard,charge_issue,lexical_mismatch,partial_useful_miss,2,3,['2532818'],[],"['useful', 'UNJUDGED', 'UNJUDGED', 'useful', 'UNJUDGED']"
challenge-2149534,dense,ctx,en,hard,order_status_query,lexical_mismatch,full_useful_miss,0,1,['942699'],"['348970', '837502', '930357']","['irrelevant', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2909124,dense,ctx,en,hard,other_unclear,lexical_mismatch,partial_useful_miss,3,4,['2859799'],[],"['useful', 'useful', 'useful', 'UNJUDGED', 'UNJUDGED']"
challenge-842315,dense,ctx,fr,hard,delivery_delay,multilingual_crossover,partial_useful_miss,2,3,['1507922'],[],"['related', 'UNJUDGED', 'UNJUDGED', 'useful', 'useful']"
representative-1136222,dense,ctx,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,3,"['1141562', '2496352', '1309094']",[],"['irrelevant', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1210214,dense,ctx,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,2,4,"['2873344', '1502873']",[],"['useful', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-136922,dense,ctx,en,hard,cancellation,lexical_mismatch,full_useful_miss,0,2,"['130251', '132358']",['483097'],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2217342,dense,ctx,en,hard,refund_request,lexical_mismatch,full_useful_miss,0,3,"['1514354', '959310', '2598955']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2291505,dense,ctx,en,hard,product_return_and_replacement,lexical_mismatch,partial_useful_miss,1,3,"['837591', '1038875']","['2981998', '931428']","['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2683519,dense,ctx,en,hard,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['2299745', '1333581']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2931934,dense,ctx,en,hard,none,lexical_mismatch,full_useful_miss,0,2,"['1257056', '274062']",[],"['irrelevant', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-322945,dense,ctx,en,medium,delivery_delay,lexical_mismatch,full_useful_miss,0,3,"['1544573', '2604876', '377955']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-458877,dense,ctx,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['457700', '457665']",['459988'],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'useful']"
representative-533206,dense,ctx,en,hard,delivered_wrong_location,lexical_mismatch,full_useful_miss,0,4,"['2625655', '1449082', '1335103', '1499843']",['2587367'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-628261,dense,ctx,en,medium,none,lexical_mismatch,partial_useful_miss,1,2,['2500762'],['25254'],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-886169,dense,ctx,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,2,"['2252925', '2132871']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-1379340,dense,msg,it,medium,device_app_issue,insufficient_context_handling,partial_useful_miss,1,3,"['2317689', '139027']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'useful']"
challenge-1568158,dense,msg,en,hard,charge_issue,semantic_near_miss,partial_useful_miss,2,3,['538444'],[],"['useful', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
challenge-2694949,dense,msg,en,hard,account_access,semantic_near_miss,partial_useful_miss,3,4,['476110'],['5325'],"['useful', 'useful', 'UNJUDGED', 'useful', 'UNJUDGED']"
challenge-842315,dense,msg,fr,hard,delivery_delay,semantic_near_miss,partial_useful_miss,2,3,['162020'],['162019'],"['useful', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1136222,dense,msg,en,hard,service_complaint_escalation,semantic_near_miss,partial_useful_miss,2,3,['2496352'],[],"['useful', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
representative-1179639,dense,msg,en,hard,service_complaint_escalation,semantic_near_miss,full_useful_miss,0,1,['577708'],['1746127'],"['related', 'related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1210214,dense,msg,en,medium,delivery_delay,semantic_near_miss,partial_useful_miss,2,4,"['2873344', '98571']",[],"['useful', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
representative-2217342,dense,msg,en,hard,refund_request,semantic_near_miss,partial_useful_miss,1,3,"['1514354', '2598955']",['836885'],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2291505,dense,msg,en,hard,product_return_and_replacement,semantic_near_miss,partial_useful_miss,1,3,"['837591', '1096676']",['931428'],"['related', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2664071,dense,msg,en,hard,delivery_delay,semantic_near_miss,full_useful_miss,0,1,['244688'],['896709'],"['related', 'related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2683519,dense,msg,en,hard,delivery_delay,semantic_near_miss,partial_useful_miss,2,3,['2299745'],[],"['useful', 'UNJUDGED', 'UNJUDGED', 'useful', 'UNJUDGED']"
representative-322945,dense,msg,en,medium,delivery_delay,semantic_near_miss,partial_useful_miss,2,3,['2604876'],['1043602'],"['useful', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
representative-458877,dense,msg,en,medium,delivery_delay,semantic_near_miss,partial_useful_miss,2,3,['457665'],['459988'],"['useful', 'related', 'UNJUDGED', 'UNJUDGED', 'useful']"
representative-533206,dense,msg,en,hard,delivered_wrong_location,semantic_near_miss,partial_useful_miss,3,4,['1499843'],['2587367'],"['useful', 'UNJUDGED', 'useful', 'useful', 'UNJUDGED']"
representative-628261,dense,msg,en,medium,none,semantic_near_miss,partial_useful_miss,1,2,['387984'],[],"['useful', 'related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-1379340,bm25,ctx,it,medium,device_app_issue,multilingual_crossover,partial_useful_miss,2,3,['2332811'],['839373'],"['useful', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-1568158,bm25,ctx,en,hard,charge_issue,lexical_mismatch,full_useful_miss,0,3,"['537466', '538444', '2532818']",[],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2149534,bm25,ctx,en,hard,order_status_query,lexical_mismatch,full_useful_miss,0,1,['942699'],"['348970', '837502', '930357']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2609965,bm25,ctx,fr,hard,other_unclear,multilingual_crossover,full_useful_miss,0,3,"['481502', '500827', '481632']",[],"['UNJUDGED', 'UNJUDGED', 'related', 'UNJUDGED', 'UNJUDGED']"
challenge-2694949,bm25,ctx,en,hard,account_access,lexical_mismatch,partial_useful_miss,1,4,"['476107', '967240', '1039535']",['5325'],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2909124,bm25,ctx,en,hard,other_unclear,lexical_mismatch,partial_useful_miss,1,4,"['535669', '96767', '147368']",[],"['UNJUDGED', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
challenge-842315,bm25,ctx,fr,hard,delivery_delay,multilingual_crossover,partial_useful_miss,2,3,['162020'],['162019'],"['useful', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1136222,bm25,ctx,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,3,"['1141562', '2496352', '1309094']",[],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1179639,bm25,ctx,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,1,['577708'],"['911194', '1746127', '1456324']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1210214,bm25,ctx,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,4,"['1000989', '1502873', '98571']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-136922,bm25,ctx,en,hard,cancellation,lexical_mismatch,full_useful_miss,0,2,"['130251', '132358']","['457763', '483097']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2217342,bm25,ctx,en,hard,refund_request,lexical_mismatch,full_useful_miss,0,3,"['1514354', '959310', '2598955']",['836885'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2291505,bm25,ctx,en,hard,product_return_and_replacement,lexical_mismatch,full_useful_miss,0,3,"['837591', '1096676', '1038875']","['2981998', '931428']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2378990,bm25,ctx,en,hard,device_app_issue,lexical_mismatch,full_useful_miss,0,1,['902439'],['595709'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2532842,bm25,ctx,en,hard,delivered_but_not_received,lexical_mismatch,full_useful_miss,0,2,"['292871', '111844']","['798703', '1533699']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2664071,bm25,ctx,en,hard,delivery_delay,lexical_mismatch,full_useful_miss,0,1,['244688'],"['931619', '896709', '1326823']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
