example_id,true_intent,intent,action,confidence,language,cue_overlap,draft
challenge-102915,service_complaint_escalation,delivery_delay,auto_handle,0.9245,en,,"Hello! This is Amazon Customer Service. Hi, Frank! Thanks for reaching out to us! To find out more about Kindle Unlimited and to sign up please visit us here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1033752,none,delivery_delay,auto_handle,0.8801,de,,"Hello! This is Amazon Customer Service. Freut mich sehr zu hören, dass meine Kollegen dir helfen konnten. Hab noch einen schönen Tag! To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1130527,order_status_query,delivery_delay,auto_handle,0.8833,en,,"Hello! This is Amazon Customer Service. ¿Has intentado contactar al transportista? Recuerda no compartir informaciones personales por este medio To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1242242,delivered_but_not_received,service_complaint_escalation,escalate,0.923,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-1323314,service_complaint_escalation,delivery_delay,auto_handle,0.9397,en,ask,"Hello! We are sorry to hear about this experience. I'm sorry Sheikh, however, remorse returns are not accepted To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1379340,device_app_issue,delivery_delay,auto_handle,0.886,it,,"Hello! This is Amazon Customer Service. Hola, Bernice. Actualmente estos son los dispositivos compatibles: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1451501,none,charge_issue,escalate,0.5654,pt,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-1568158,charge_issue,delivery_delay,escalate,0.8476,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-1578555,delivered_wrong_location,delivery_delay,auto_handle,0.8797,de,,"Hello! This is Amazon Customer Service. Wunderbar! Danke für deine Rückmeldung und einen schönen Abend To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1645512,device_app_issue,delivery_delay,auto_handle,0.8831,en,,"Hello! This is Amazon Customer Service. Ok! Let us know when you are able to try it on a computer To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1738390,none,delivery_delay,auto_handle,0.9521,ja,,"Hello! This is Amazon Customer Service. |´-`)ﾁﾗｯ お待たせいたしました。Amazonのご利用ありがとうございました🙇 HM To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1845984,charge_issue,delivery_delay,auto_handle,0.9187,en,,"Hello! This is Amazon Customer Service. An account specialist is the best one to address this and answer any questions/concerns you may have. Feel free to reply to the e-mail you received from them To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-1955907,charge_issue,delivery_delay,auto_handle,0.9865,en,,"Hello! We are sorry to hear about this experience. Sorry to know this, Nitin. I'll be sure to forward your feedback internally. Kindly place a new order To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-197857,charge_issue,service_complaint_escalation,escalate,0.7698,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-2149534,order_status_query,delivery_delay,auto_handle,0.8855,en,,"Hello! We are sorry to hear about this experience. Sorry your package hasn't been located, Adam. Have you tried these steps: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2151072,none,delivery_delay,auto_handle,0.9888,ja,,"Hello! This is Amazon Customer Service. さようでございましたか。このたびはお届けまでお待たせし、ご不便をおかけしました。 今後もお気づきの点、ご不明な点などがございましたらご遠慮なくお知らせください。 MH To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2170818,delivery_delay,delivery_delay,auto_handle,0.999,en,,"Hello! We are sorry to hear about this experience. Hi, sorry to see that. What device are you using? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2171079,delivery_delay,delivery_delay,auto_handle,0.8844,en,apology,"Hello! We are sorry to hear about this experience. Sorry to hear. We can't check your account here. Without personal inf, can you describe what has occurred? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2254596,none,delivery_delay,auto_handle,0.9225,it,,"Hello! This is Amazon Customer Service. Figurati! Tienici aggiornati! ❤️ To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-227064,device_app_issue,delivery_delay,auto_handle,0.9276,ja,,"Hello! This is Amazon Customer Service. ブライムビデオで、見れますよ～！！ 是非！見ちゃってください( *• ̀ω•́ )b TY To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2284883,delivered_wrong_location,delivery_delay,auto_handle,0.8943,en,,"Hello! This is Amazon Customer Service. That's quite a remark. Could you please let us know what went wrong? We'd like to help To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-232399,service_complaint_escalation,delivery_delay,escalate,0.8773,fr,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-2472354,none,delivery_delay,auto_handle,0.95,ja,,"Hello! This is Amazon Customer Service. どうぞよろしくお願いいたしますm(__)m EK To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2497106,device_app_issue,delivery_delay,auto_handle,0.887,en,,"Hello! This is Amazon Customer Service. I get your concern, please contact us here : so that we can assist you accordingly To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2521823,service_complaint_escalation,service_complaint_escalation,escalate,0.9096,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-2586341,none,delivery_delay,auto_handle,0.9121,ja,,"Hello! This is Amazon Customer Service. 更新後、年会費の請求後であっても、特典の利用がなければキャンセル手続き後に年会費を返金いたします。ご希望の場合、詳しくはこちらのヘルプページをご確認ください。 MH To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2609965,other_unclear,product_return_and_replacement,escalate,0.914,fr,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-2679197,product_return_and_replacement,service_complaint_escalation,escalate,0.7346,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-2694949,account_access,delivery_delay,auto_handle,0.8888,en,,"Hello! This is Amazon Customer Service. We'd like to take a closer look at the issue. When you get the chance, please reach out to us directly via phone/chat here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2747122,service_complaint_escalation,service_complaint_escalation,escalate,0.8971,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-2785904,delivery_delay,delivery_delay,auto_handle,0.891,en,,"Hello! This is Amazon Customer Service. It's never our intention for this to happen! Typically, late packages arrive the next business day. Keep us posted on arrival To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2798309,delivered_but_not_received,delivery_delay,escalate,0.8533,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-2814438,account_access,delivery_delay,auto_handle,0.9085,es,,"Hello! This is Amazon Customer Service. Este tipo de incidencias solo son manejadas por el Departamento de Cuentas, por lo que se debe seguir el proceso establecido To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-2853614,cancellation,service_complaint_escalation,escalate,0.7047,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
